t,state,Focused,Fatigue,Anxiety,Boredom,p_sleepy
246.48,Focused,0.6733,0.0832,0.0712,0.1723,0.4880
246.69,Focused,0.6707,0.0822,0.0713,0.1758,0.4764
246.97,Focused,0.6723,0.0824,0.0716,0.1737,0.4447
247.17,Focused,0.6728,0.0826,0.0716,0.1731,0.4337
247.39,Focused,0.6728,0.0826,0.0716,0.1729,0.4629
247.66,Focused,0.6717,0.0827,0.0714,0.1742,0.4580
248.65,Focused,0.6710,0.0821,0.0711,0.1758,0.4385
248.85,Focused,0.6719,0.0823,0.0709,0.1748,0.4299
249.04,Focused,0.6719,0.0823,0.0710,0.1748,0.4448
249.24,Focused,0.6721,0.0824,0.0711,0.1743,0.4302
249.43,Focused,0.6722,0.0824,0.0717,0.1738,0.4279
249.62,Focused,0.6742,0.0825,0.0718,0.1716,0.4399
249.82,Focused,0.6820,0.0821,0.0725,0.1634,0.4447
250.02,Focused,0.6814,0.0820,0.0722,0.1644,0.4369
250.22,Focused,0.6794,0.0821,0.0725,0.1659,0.4557
250.52,Focused,0.6713,0.0825,0.0718,0.1744,0.4644
250.72,Focused,0.6728,0.0830,0.0717,0.1724,0.5034
250.91,Focused,0.6745,0.0838,0.0718,0.1699,0.4755
251.21,Focused,0.6748,0.0839,0.0717,0.1696,0.4588
251.40,Focused,0.6738,0.0840,0.0719,0.1703,0.4594
251.59,Focused,0.6725,0.0831,0.0714,0.1730,0.4572
251.80,Focused,0.6765,0.0841,0.0711,0.1684,0.5025
252.00,Focused,0.6764,0.0837,0.0709,0.1689,0.4847
252.28,Focused,0.6778,0.0842,0.0710,0.1670,0.4733
252.49,Focused,0.6751,0.0833,0.0712,0.1705,0.4536
252.69,Focused,0.6742,0.0831,0.0713,0.1714,0.4584
252.87,Focused,0.6720,0.0823,0.0712,0.1745,0.3904
253.08,Focused,0.6702,0.0820,0.0713,0.1765,0.4239
253.27,Focused,0.6372,0.1826,0.0583,0.1219,0.2817
253.47,Focused,0.6169,0.1830,0.0738,0.1264,0.4188
253.77,Focused,0.5744,0.2282,0.0831,0.1143,0.4882
254.70,Focused,0.7223,0.2022,0.0295,0.0460,0.3799
255.14,Fatigue,0.2678,0.7069,0.0149,0.0104,0.3532
255.34,Fatigue,0.1522,0.8313,0.0103,0.0063,0.3971
255.53,Fatigue,0.3247,0.6450,0.0136,0.0166,0.3205
256.12,Focused,0.6902,0.2485,0.0292,0.0320,0.3987
256.33,Focused,0.6339,0.3153,0.0224,0.0283,0.3781
256.52,Focused,0.6603,0.2793,0.0216,0.0388,0.3584
256.71,Focused,0.5637,0.3829,0.0193,0.0342,0.4657
256.92,Focused,0.5666,0.3809,0.0191,0.0335,0.3746
257.11,Focused,0.6006,0.3585,0.0208,0.0201,0.3418
257.31,Focused,0.7535,0.1903,0.0284,0.0278,0.3912
257.61,Focused,0.8039,0.1085,0.0443,0.0433,0.4245
257.80,Focused,0.6763,0.2420,0.0412,0.0405,0.4477
258.20,Focused,0.5121,0.2453,0.0890,0.1536,0.4375
258.39,Focused,0.6283,0.1885,0.0623,0.1209,0.4156
258.59,Focused,0.6549,0.1728,0.0555,0.1167,0.3736
258.78,Focused,0.7537,0.1074,0.0458,0.0931,0.3658
258.99,Focused,0.7169,0.1465,0.0586,0.0780,0.4612
259.18,Focused,0.7312,0.1622,0.0556,0.0509,0.4326
259.37,Focused,0.6353,0.2051,0.0751,0.0845,0.3781
259.58,Focused,0.7177,0.1336,0.0654,0.0833,0.3463
259.96,Focused,0.5860,0.1878,0.1547,0.0715,0.4169
260.17,Focused,0.6285,0.1421,0.1268,0.1026,0.3670
260.55,Focused,0.5259,0.0870,0.1365,0.2506,0.3463
260.76,Focused,0.4886,0.1691,0.1003,0.2420,0.2499
260.95,Focused,0.4454,0.1759,0.1095,0.2692,0.3105
261.15,Focused,0.4357,0.2154,0.0975,0.2514,0.3574
261.34,Focused,0.4589,0.1930,0.1079,0.2402,0.3716
261.54,Focused,0.5746,0.1554,0.1035,0.1665,0.3502
261.74,Focused,0.6332,0.1151,0.0936,0.1581,0.4975
262.33,Focused,0.6180,0.0984,0.0877,0.1959,0.2604
262.52,Focused,0.6441,0.0902,0.0795,0.1863,0.2991
262.73,Focused,0.6528,0.0874,0.0768,0.1830,0.2620
262.92,Focused,0.6714,0.0942,0.0702,0.1642,0.3441
263.11,Focused,0.6720,0.1204,0.0669,0.1407,0.2492
263.32,Focused,0.6722,0.1204,0.0670,0.1404,0.3292
263.51,Focused,0.6710,0.1082,0.0681,0.1527,0.3779
263.70,Focused,0.6705,0.0821,0.0714,0.1760,0.4009
