dataset,model,accuracy,precision,recall,f1,roc_auc
performance,logistic_regression,0.8013333333333333,0.7302052785923754,0.8137254901960784,0.7697063369397218,0.8889183300948007
performance,random_forest,0.7826666666666666,0.716012084592145,0.7745098039215687,0.7441130298273155,0.8651077548136372
performance,xgboost,0.7826666666666666,0.7109144542772862,0.7875816993464052,0.7472868217054264,0.877134487428605
oulad,logistic_regression,0.9265463917525774,0.958008658008658,0.9003254678600489,0.9282718120805369,0.9764700286005993
oulad,random_forest,0.939647766323024,0.9809986743261158,0.903173311635476,0.9404787121372591,0.983947052983295
oulad,xgboost,0.944372852233677,0.9795028347143481,0.9137510170870626,0.9454851610187329,0.9841960033198315
