Model,Accuracy,Weighted F1,High-Priority Precision,High-Priority Recall,High-Priority F1
XGBoost,0.7572787125091441,0.7573630498238981,0.8908339675981298,0.6768836748182419,0.769259659170931
Gradient Boosting,0.752713972201902,0.7528208775534121,0.8950816031975131,0.6660608063450099,0.7637724409075837
Decision Tree,0.7411558156547183,0.7408480813326923,0.8942801689690604,0.6471414408460013,0.7508987202224033
SVM RBF,0.7399853694220921,0.7388527652018108,0.9169208246919605,0.6209517514871117,0.7404561351657554
Random Forest,0.7393123628383321,0.737949589891094,0.9218730896197579,0.6229345670852611,0.7434797613765222
KNN,0.7293050475493782,0.7291926806955488,0.8059400230680508,0.6927461996034369,0.7450684201172916
Logistic Regression,0.6730943672275055,0.6709862515210968,0.7254574070430848,0.6093027098479842,0.6623259991019308
Naive Bayes,0.6117044623262619,0.6078632164226061,0.585362563237774,0.7169530733641771,0.6445096364514092
