,date,weight,num_of_prev_attempts,studied_credits,module_presentation_length,date_registration,prior_avg_score,avg_weekly_clicks,clicks_trend,active_weeks_ratio,has_vle_activity,assessment_type_enc,code_module_enc
High,-0.2743201971923463,1.1057543331750324,0.021284864449710703,-0.004866246386452193,-0.05388620934428234,0.04166284804575108,-0.3706537594057192,-0.17643504224193757,0.0908849745920841,0.020297859073611174,0.020297859073611174,-1.0649451476754113,-0.5961210503510216
Low,-0.1937485163563862,-2.0074920279504846,-0.00734861747897876,0.05773944859594127,0.06717417477634342,-0.038506205490029165,0.4277595203467302,0.19519123168017785,-0.07045009977998119,-0.011870080891342989,-0.011870080891342989,0.519052809940316,0.6449489748367288
Medium,0.46806871354873025,0.9017376947754518,-0.013936246970732449,-0.05287320220948899,-0.013287965432061377,-0.0031566425557220104,-0.05710576094101177,-0.018756189438240395,-0.020434874812103005,-0.008427778182268015,-0.008427778182268015,0.5458923377350952,-0.048827924485707344
